id,bbox,sick
Train_34.jpg,"[0, 0, 64, 43]",1
Train_1536.jpg,"[64, 0, 64, 43]",1
Train_1330.jpg,"[256, 0, 64, 43]",1
Train_1702.jpg,"[320, 0, 64, 43]",1
Train_1742.jpg,"[384, 0, 64, 43]",1
Train_395.jpg,"[448, 0, 64, 43]",1
Train_530.jpg,"[512, 0, 64, 43]",1
Train_81.jpg,"[576, 0, 64, 43]",1
Train_612.jpg,"[704, 0, 64, 43]",1
Train_218.jpg,"[832, 0, 64, 43]",1
Train_1815.jpg,"[896, 0, 64, 43]",1
Train_1224.jpg,"[960, 0, 64, 43]",0
Train_949.jpg,"[1088, 0, 64, 43]",1
Train_1560.jpg,"[1216, 0, 64, 43]",1
Train_720.jpg,"[1280, 0, 64, 43]",0
Train_581.jpg,"[1344, 0, 64, 43]",1
Train_1075.jpg,"[1472, 0, 64, 43]",1
Train_855.jpg,"[1600, 0, 64, 43]",1
Train_215.jpg,"[1728, 0, 64, 43]",0
Train_1468.jpg,"[1792, 0, 64, 43]",1
Train_1354.jpg,"[0, 43, 64, 43]",0
Train_1348.jpg,"[64, 43, 64, 43]",0
Train_254.jpg,"[192, 43, 64, 43]",1
Train_1568.jpg,"[256, 43, 64, 43]",1
Train_1574.jpg,"[448, 43, 64, 43]",1
Train_1696.jpg,"[512, 43, 64, 43]",1
Train_1747.jpg,"[640, 43, 64, 43]",1
Train_231.jpg,"[704, 43, 64, 43]",1
Train_122.jpg,"[768, 43, 64, 43]",1
Train_602.jpg,"[832, 43, 64, 43]",1
Train_1236.jpg,"[896, 43, 64, 43]",1
Train_464.jpg,"[960, 43, 64, 43]",1
Train_517.jpg,"[1024, 43, 64, 43]",1
Train_1796.jpg,"[1088, 43, 64, 43]",1
Train_753.jpg,"[1152, 43, 64, 43]",0
Train_196.jpg,"[1216, 43, 64, 43]",1
Train_833.jpg,"[1408, 43, 64, 43]",0
Train_1399.jpg,"[1536, 43, 64, 43]",1
Train_436.jpg,"[1664, 43, 64, 43]",1
Train_1119.jpg,"[1728, 43, 64, 43]",1
Train_56.jpg,"[1792, 43, 64, 43]",1
Train_174.jpg,"[0, 86, 64, 43]",0
Train_1648.jpg,"[64, 86, 64, 43]",1
Train_37.jpg,"[128, 86, 64, 43]",1
Train_539.jpg,"[192, 86, 64, 43]",1
Train_589.jpg,"[320, 86, 64, 43]",1
Train_645.jpg,"[384, 86, 64, 43]",1
Train_493.jpg,"[512, 86, 64, 43]",1
Train_1438.jpg,"[576, 86, 64, 43]",0
Train_582.jpg,"[704, 86, 64, 43]",1
Train_1035.jpg,"[832, 86, 64, 43]",1
Train_1609.jpg,"[896, 86, 64, 43]",1
Train_922.jpg,"[960, 86, 64, 43]",1
Train_1641.jpg,"[1024, 86, 64, 43]",1
Train_1515.jpg,"[1088, 86, 64, 43]",1
Train_757.jpg,"[1152, 86, 64, 43]",1
Train_1387.jpg,"[1216, 86, 64, 43]",1
Train_905.jpg,"[1280, 86, 64, 43]",1
Train_1757.jpg,"[1344, 86, 64, 43]",1
Train_703.jpg,"[1472, 86, 64, 43]",0
Train_1760.jpg,"[1536, 86, 64, 43]",0
Train_749.jpg,"[1600, 86, 64, 43]",1
Train_451.jpg,"[1664, 86, 64, 43]",1
Train_568.jpg,"[1728, 86, 64, 43]",1
Train_149.jpg,"[1792, 86, 64, 43]",1
Train_1362.jpg,"[0, 129, 64, 43]",1
Train_213.jpg,"[64, 129, 64, 43]",0
Train_113.jpg,"[192, 129, 64, 43]",1
Train_737.jpg,"[256, 129, 64, 43]",0
Train_1171.jpg,"[320, 129, 64, 43]",0
Train_1756.jpg,"[384, 129, 64, 43]",1
Train_324.jpg,"[512, 129, 64, 43]",1
Train_497.jpg,"[576, 129, 64, 43]",1
Train_1350.jpg,"[640, 129, 64, 43]",1
Train_1699.jpg,"[704, 129, 64, 43]",1
Train_666.jpg,"[768, 129, 64, 43]",1
Train_650.jpg,"[896, 129, 64, 43]",0
Train_1784.jpg,"[960, 129, 64, 43]",1
Train_783.jpg,"[1024, 129, 64, 43]",1
Train_1018.jpg,"[1088, 129, 64, 43]",1
Train_1724.jpg,"[1152, 129, 64, 43]",0
Train_1662.jpg,"[1216, 129, 64, 43]",1
Train_104.jpg,"[1280, 129, 64, 43]",1
Train_860.jpg,"[1344, 129, 64, 43]",1
Train_948.jpg,"[1408, 129, 64, 43]",0
Train_1780.jpg,"[1472, 129, 64, 43]",1
Train_152.jpg,"[1536, 129, 64, 43]",1
Train_516.jpg,"[1600, 129, 64, 43]",1
Train_1046.jpg,"[1792, 129, 64, 43]",1
Train_64.jpg,"[0, 172, 64, 43]",1
Train_1577.jpg,"[64, 172, 64, 43]",1
Train_344.jpg,"[128, 172, 64, 43]",1
Train_886.jpg,"[192, 172, 64, 43]",1
Train_259.jpg,"[256, 172, 64, 43]",1
Train_1463.jpg,"[320, 172, 64, 43]",0
Train_795.jpg,"[384, 172, 64, 43]",1
Train_1573.jpg,"[448, 172, 64, 43]",1
Train_205.jpg,"[640, 172, 64, 43]",1
Train_535.jpg,"[704, 172, 64, 43]",1
Train_1304.jpg,"[768, 172, 64, 43]",0
Train_1050.jpg,"[896, 172, 64, 43]",1
Train_1197.jpg,"[960, 172, 64, 43]",1
Train_336.jpg,"[1088, 172, 64, 43]",1
Train_1254.jpg,"[1152, 172, 64, 43]",0
Train_418.jpg,"[1344, 172, 64, 43]",1
Train_543.jpg,"[1408, 172, 64, 43]",1
Train_696.jpg,"[1472, 172, 64, 43]",1
Train_1149.jpg,"[1536, 172, 64, 43]",1
Train_600.jpg,"[1600, 172, 64, 43]",1
Train_1201.jpg,"[1664, 172, 64, 43]",1
Train_655.jpg,"[1728, 172, 64, 43]",1
Train_1794.jpg,"[1792, 172, 64, 43]",0
Train_7.jpg,"[64, 215, 64, 43]",1
Train_732.jpg,"[128, 215, 64, 43]",1
Train_1221.jpg,"[192, 215, 64, 43]",1
Train_912.jpg,"[256, 215, 64, 43]",1
Train_1534.jpg,"[320, 215, 64, 43]",1
Train_234.jpg,"[576, 215, 64, 43]",1
Train_1457.jpg,"[640, 215, 64, 43]",0
Train_673.jpg,"[704, 215, 64, 43]",1
Train_1464.jpg,"[832, 215, 64, 43]",1
Train_44.jpg,"[896, 215, 64, 43]",1
Train_1311.jpg,"[960, 215, 64, 43]",1
Train_342.jpg,"[1024, 215, 64, 43]",1
Train_1526.jpg,"[1088, 215, 64, 43]",1
Train_616.jpg,"[1216, 215, 64, 43]",0
Train_320.jpg,"[1280, 215, 64, 43]",0
Train_675.jpg,"[1344, 215, 64, 43]",0
Train_1800.jpg,"[1408, 215, 64, 43]",1
Train_1014.jpg,"[1536, 215, 64, 43]",0
Train_1126.jpg,"[1600, 215, 64, 43]",1
Train_1012.jpg,"[1664, 215, 64, 43]",0
Train_1060.jpg,"[1728, 215, 64, 43]",1
Train_126.jpg,"[1792, 215, 64, 43]",1
Train_901.jpg,"[0, 258, 64, 43]",0
Train_874.jpg,"[64, 258, 64, 43]",1
Train_538.jpg,"[128, 258, 64, 43]",1
Train_563.jpg,"[192, 258, 64, 43]",1
Train_307.jpg,"[256, 258, 64, 43]",0
Train_1091.jpg,"[320, 258, 64, 43]",0
Train_994.jpg,"[384, 258, 64, 43]",1
Train_1047.jpg,"[448, 258, 64, 43]",0
Train_1129.jpg,"[512, 258, 64, 43]",1
Train_1134.jpg,"[576, 258, 64, 43]",1
Train_803.jpg,"[640, 258, 64, 43]",1
Train_204.jpg,"[704, 258, 64, 43]",1
Train_1552.jpg,"[768, 258, 64, 43]",0
Train_285.jpg,"[832, 258, 64, 43]",1
Train_1297.jpg,"[896, 258, 64, 43]",0
Train_1299.jpg,"[960, 258, 64, 43]",1
Train_776.jpg,"[1024, 258, 64, 43]",0
Train_1270.jpg,"[1088, 258, 64, 43]",1
Train_338.jpg,"[1152, 258, 64, 43]",1
Train_531.jpg,"[1280, 258, 64, 43]",0
Train_1375.jpg,"[1344, 258, 64, 43]",1
Train_1037.jpg,"[1408, 258, 64, 43]",1
Train_1051.jpg,"[1472, 258, 64, 43]",1
Train_831.jpg,"[1536, 258, 64, 43]",1
Train_1769.jpg,"[1728, 258, 64, 43]",1
Train_85.jpg,"[1792, 258, 64, 43]",1
Train_170.jpg,"[0, 301, 64, 43]",1
Train_188.jpg,"[64, 301, 64, 43]",1
Train_671.jpg,"[128, 301, 64, 43]",0
Train_1309.jpg,"[192, 301, 64, 43]",0
Train_1294.jpg,"[256, 301, 64, 43]",1
Train_431.jpg,"[320, 301, 64, 43]",1
Train_482.jpg,"[384, 301, 64, 43]",1
Train_713.jpg,"[512, 301, 64, 43]",1
Train_1262.jpg,"[576, 301, 64, 43]",1
Train_219.jpg,"[640, 301, 64, 43]",0
Train_14.jpg,"[704, 301, 64, 43]",1
Train_223.jpg,"[768, 301, 64, 43]",1
Train_1390.jpg,"[832, 301, 64, 43]",1
Train_1764.jpg,"[896, 301, 64, 43]",1
Train_416.jpg,"[960, 301, 64, 43]",1
Train_1174.jpg,"[1088, 301, 64, 43]",1
Train_1425.jpg,"[1152, 301, 64, 43]",1
Train_363.jpg,"[1216, 301, 64, 43]",1
Train_836.jpg,"[1280, 301, 64, 43]",1
Train_1154.jpg,"[1344, 301, 64, 43]",1
Train_1598.jpg,"[1408, 301, 64, 43]",0
Train_1258.jpg,"[1536, 301, 64, 43]",1
Train_1618.jpg,"[1664, 301, 64, 43]",1
Train_1708.jpg,"[1728, 301, 64, 43]",1
Train_1686.jpg,"[1792, 301, 64, 43]",1
Train_1.jpg,"[0, 344, 64, 43]",1
Train_894.jpg,"[64, 344, 64, 43]",1
Train_1153.jpg,"[128, 344, 64, 43]",0
Train_460.jpg,"[256, 344, 64, 43]",0
Train_1182.jpg,"[384, 344, 64, 43]",1
Train_128.jpg,"[448, 344, 64, 43]",1
Train_403.jpg,"[512, 344, 64, 43]",1
Train_1554.jpg,"[576, 344, 64, 43]",1
